Date,Category of Accident,Type of accident,Type of Train 1,Type of Train 2,Type of Train 3,Death,Injuries,Location of accident state,Cause & Location of accident place
4 January 1961,technical,Collision,Passenger,Passenger,,35,61,Bihar,"Two passenger trains collided head-on near Umeshnagar, killing 35 and injuring 61."
8 March 1961,technical,Collision,Passenger,Freight Train,,11,37,Bihar,A passenger train and freight train collided between Kalihar and Bihar
20 October 1961,technical,Derailment,Express,,,47,150,West Bengal,The Ranchi Express derailed 200 km (120 mi) from Kolkata
22 July 1962,technical,Collision,Express,Freight Train,,100,120,Bihar,The Howrah-bound Punjab Mail crashed into a goods train at Dumraon railway station
22 July 1963,technical,Derailment,Express,,,120,20,Uttar Pradesh,More than 100 passengers were killed when Udyan Abha Toofan Express derailed at Etmadpur near Tundla Junction.
23 December 1964,non-technical,Tropical Cyclone derailment,Passenger,,,135,0,Tamil Nadu,The Pamban-Dhanuskodi passenger train was washed away by the Rameswaram cyclone
19 June 1965,technical,Collision,Freight Train,Passenger,,15,10,Maharashtra,A freight train collided with a train carrying railway workers about 800 km (500 mi) from Mumbai
16 February 1966,non-technical,Sabotage,Express,,,27,60,Assam,A Mail Express train in Assam was bombed by Naga separatists
20 April 1966,non-technical,Sabotage,Express,,,55,127,Assam,A train at the Lumding railway station was bombed by Naga separatists
23 April 1966,non-technical,Sabotage,Express,,,40,60,Assam,A train at the Diphu railway station was bombed by Naga separatists
13 June 1966,technical,Collision,Passenger,Passenger,,57,100,Maharashtra,Two passenger trains collided near Matunga railway station
19 March 1968,technical,Collision,Express,Passenger,,53,42,Karnataka,The Bangalore-bound Deccan Express from Poona and the Birur–Hubli passenger train collided at Yalvigi station on the Harihar-Hubli section of the Southern Railway
4 February 1969,non-technical,Collision,Passenger,,,32,50,Tamil Nadu,Passengers riding on the top of a train were swept off by the girders of a bridge near Madras
21 June 1969,technical,Derailment,Express,,,70,130,Uttar Pradesh,Six passenger cars of an express derailed and fell into the Magari River
14 July 1969,technical,Collision,Freight Train,Passenger,,85,130,Rajasthan,A freight train crashed into a stationary passenger train at Jaipur
28 April 1970,technical,Collision,Passenger,,,,,Uttar Pradesh,Collision of 31 Up Barauni Kanpur Passenger Train at Lucknow Junction of Northern Railway.[49]
29 May 1970,technical,Derailment,Express,,,,,Andhra Pradesh,Derailment of 18up Delhi-Madras Janata Express Train at Talamanchi Station
28 September 1970,technical,Derailment,Mail,,,,,Uttar Pradesh,Derailment of 6 Down Amritsar-Howrah Mail at Karna Station
26 October 1970,technical,Collision,Passenger,Freight Train,,,,Uttar Pradesh,Head-on Collision between 1 Ajd Up Passenger Train and 456 Down Goods Train at Khurja Jn. Station of Northern Railway.[49]
31 October 1970,technical,Collision,Mail,Mail,,,,Tamil Nadu,Collision between No.1 Down Madras-Mangalore Mail and No.19 Down Madras Cochin Mail at Perambur Station of Southern Railway.[49]
5 November 1970,technical,Collision,Express,Express,,,,Odisha,Collision of Down Diesel Erb Special 1 with 46 Down (Hyderabad-Howrah Express) between Retang and Bhubaneswar Stations on the East Coast Main Line of the South Eastern Railway.[49]
6 January 1971,technical,Collision,Suburban Train,Suburban Train,,,,West Bengal,Collision between R 81 Up Ranaghat Local and T151 Up Barasat Local Trains at Dum Dum Jn. Station of Eastern Railway.[49]
25 April 1971,technical,Collision,Freight Train,Passenger,,,,Telangana,Head-on Collision between No. 102 Do-4 Up Goods Train and No. 395 Wardha Kazipet Passenger Train Near Asifabad Road Station of the South Central Railway.[49]
26 June 1971,technical,Collision,Suburban Train,,,,,Maharashtra,A Borivli-Churchgate Suburban Train crashes at Goregaon Yard of Western Railway.[49]
6 July 1971,technical,Collision,Express,Express,,,,West Bengal,Two trains collide on the eastern railway[49]
26 April 1972,technical,Derailment,Express,,,,,Karnataka,A train derailed in Mysore state
28 June 1972,technical,Derailment,Passenger,,,,,Maharashtra,Derailment of 222 Down Udaipur City-Marwar Jn. Passenger Train Between Phulad and Marwar Ranawas Stations of Western Railway.[49]
27 July 1973,technical,Collision,Express,Mail,,,,Jharkhand,Collision of 87 Up South Bihar Express with The Rear of 5 Up Howrah Amritsar Mail at Km. 291.767 between Joramow Block Hut and Madhupur Junction Station of Eastern Railway.[49]
12 December 1973,technical,Collision,Passenger,Freight Train,,,,Madhya Pradesh,Rear end Collision between 358 Up Itarsi-Bhusaval Passenger and Stationary Goods Train No.L-30 Up at Burhanpur Station of Central Railway.[49]
21 February 1974,technical,Collision,Passenger,,,41,63,Uttar Pradesh,A passenger train crashed into a freight train at Moradabad
9 March 1974,technical,Derailment,Express,Express,,,,Uttar Pradesh,Derailment of 662 Up Mixed Train between Sillipur and Birpur Stations on Sheopur Kalan Gwalior Narrow Gauge Section of Jhansi Division on Central Railway.[49]
2 July 1974,technical,Collision,Express,Freight Train,,,,Uttar Pradesh,Rear-End Collision of 55 Up Patna Delhi Express with Stationary Up Amritsar Special Goods at Chandausi Junction Station of Northern Railway.[49]
12 November 1974,non-technical,Fire,Passenger,,,,,Bihar,Fire on 311 Up Sealdah Samastipur Fast Passenger between Rampur Dumra and Hatidih Link Cabin on Danapur Division of Eastern Railway.[49]
26 February 1975,technical,Derailment,Express,,,,,West Bengal,Derailment of 59up Kamrup Express between New Jalpaiguri and Ambari Falakata Stations of Northeast Frontier Railway.[49]
11 July 1975,technical,Collision,Mail,Freight Train,,,,Madhya Pradesh,Collision of 6 Up Punjab Mail with Up Diesel Special Goods Train at Khirkiya Station of Central Railway.[49]
29 January 1975,technical,Collision,Mail,Suburban Train,,,,West Bengal,Collision of 43 Up Darjeeling Mail with the rear of H. 185 Up HABRA Local on the Up Main Line at Ultadanga Road Station on Eastern Railway.[49]
26 March 1975,technical,Derailment,Passenger,,,,,West Bengal,Derailment of 365 Up Sealdah Lalgola Passenger Train at the Up Facing Points of Birnagar Station at 89/14-16 on Sealdah Lalgola Section of Eastern Railway.[49]
26 November 1975,technical,Derailment,Express,,,,,Maharashtra,Derailment of No.20 Up Dehra Dun Express at Virar Station on The Valsad-Bombay Central Broad Gauge Section of Western Railway.[49]
6 January 1976,technical,Derailment,Mail,,,,,Tamil Nadu,Derailment of No.20 Up Cochin Harbour Terminus Madras Central Mail between Mukundarayapuram and Walajah Road Junction Stations of Southern Railway.[49]
24 May 1976,technical,Collision,Freight Train,Passenger,,,,Maharashtra,Collision of Kurla Wiring Train with The Rear of N-9 Down Local Train on The Down Main Line at ES. 23/12 between Vikhroli and Kanjur Marg Stations on the Bombay Kalyan B.G. Section of Central Railway.[49]
14 July 1976,technical,Derailment,Freight Train,,,,,Assam,Derailment of 234 Down Mixed Train between Golaghat and Furkating M.G. Section of Tinsukia Division of Northeast Frontier Railway.[49]
30 August 1976,technical,Derailment,Express,,,,,West Bengal,Derailment of 59 Up Kamrup Express at Km 195/ 1-4 between Samsi and Bhaluka Droad Stations on Malda Town New Jalpaiguri Broad Gauge Section of Katihar Division of Northeast Frontier Railway.[49]
11 October 1976,technical,Derailment,Express,,,,,Jharkhand,Derailment of 23 Up Patna Hatia Express between Silli and Kita Stations on Muri Hatia Section of South Eastern Railway.[49]
23 October 1976,technical,Derailment,Suburban Train,,,,,Maharashtra,Derailment 5 of No. 371 Sown Suburban Train at Bandra Station of the Bombay Suburban Section of Western Railway.[49]
17 November 1976,technical,Collision,Freight Train,Freight Train,Passenger,,,Andhra Pradesh,"Double collision, first of Oja Special Goods Train with the rear of Wjd-12 Up Goods Train and subsequently of No. 78up Vijayawada Madras Parcel Passenger with the rear of the Oja Special Goods Train between the Up Distance and Up Home signals of Srivenkateswarapalem of South Central Railway.[49]"
7 February 1977,technical,Derailment,Passenger,,,,,Uttarakhand,Derailment of 104 Down Kathgodam Bareilly Passenger in The Catch Siding at Haldwani Station of Izzatnagar Division of North Eastern Railway.[49]
25 March 1977,technical,Collision,Freight Train,Passenger,,,,Telangana,Collision of Up BPQD Goods Train with the rear of No.76up Waltair Kazipet Passenger Train on the Up Main Line of Kesamudram Station on Vijayawada Kazypet Bg Double Line Section of South Central Railway.[49]
20 April 1977,technical,Derailment,Passenger,,,,,West Bengal,"Derailment of 367 Up Sealdah-Lalgola Passenger Train at Km. 52/27-53/II, in Madanpur Station Yard, on Sealdah Ranaghat Section in Sealdah Division of Eastern Railway.[49]"
27 May 1977,technical,Collision,Mail,,,,,Tamil Nadu,Collision of No. 20 Up Trivandrum Central Madras Central Mail Train with two Coupled Light Engines at Km. 117/4-5 in Tiruvalam Station Yard on the Jolarpettai Madras Double Line Broad Gauge Section of Southern Railway.[49]
30 May 1977,technical,Collision,Express,,,45,100,Assam,"A bridge across the Beki river near Guwahati collapsed under 13 Up Tezpur Express, killing at least 45 people and injuring 100.[52]"
4 August 1977,technical,Derailment,Passenger,Passenger,,,,Delhi [National Capital Territory (NCT)],Two Dsu Passenger trains derail at Modinagar Station of Delhi Division of Northern Railway.[49]
10 October 1977,technical,Collision,Express,Freight Train,,,,Uttar Pradesh,Collision between 103 Up Howrah-Amritsar Deluxe Express Train and Up CPC Special Goods Train at Naini Station on Allahabad Division of Northern Railway at 00.15 Hrs[49]
17 October 1977,technical,Derailment,Passenger,,,,,Tamil Nadu,Derailment of No.107 Down Madras Rameswaram Passenger Train between Paramakkudi and Pandikanmoi Stations on the Manamadurai-Rameswaram Single Line Metre Gauge Section of Southern Railway.[49]
9 November 1977,technical,Collision,Passenger,Freight Train,,,,Maharashtra,Collision of No. 385 Bhusaval Nagpur Passenger train with a cargo train on the main Line of Akola station on the Bhusaval Badnera.[49]
23 November 1977,non-technical,Sabotage,Passenger,,,20,55,Haryana,"A passenger train derailed near Rewari, probably due to sabotage of the rail tracks. 20 people were killed and 21 others seriously injured.[53]"
9 February 1978,technical,Collision,Express,Freight Train,,,,Andhra Pradesh,Collision of No. 38 Down Madras Howrah Janata Express with the Rear of No. Jbd-Ii Down Goods Train on the Down Loop Line of Vedayapalem Station on the Gudur Bitragunta Double Line Broad Gauge Section of The South Central Railway.[49]
18 April 1978,technical,Collision,Express,Suburban Train,,30,60,Maharashtra,"7 Dn Bombay Ahmedabad Janta Express crashed into the rear of 537 Down Churchgate Virar Suburban Train at Bassain Road station in Bombay, killing 30 and injuring 60.[54]"
26 August 1978,technical,Collision,Express,Freight Train,,,,Andhra Pradesh,Collision between Madras New Delhi Grand Trunk Express Train and A Run Away Box Wagon between Tondalagopavaram and Errupalem Stations on Vijaywada Kazipet Section of South Central Railway.[49]
18 September 1978,technical,Collision on an obstacle,Passenger,,,,,Gujarat,No.40up Ahmedabad Bombay Passenger Train met with an accident at Valsad Station on The Surat Bombay Central Broad Gauge Double Line Route of Western Railway.[49]
